spot,longitude,latitude,spot_id
Thurso,58.598988448609106,-3.509359359741211,47
Supertubos,39.337782643841166,-9.360136985778809,196
Los Lobos,-13.835456371307371,28.75071052045615,625
La Graviere,43.674652,-1.441545,61
Coxos,39.001853,-9.427324,4344
Pico da Mota,39.387273,-9.297724,4349
Zavial,37.046573,-8.871759,4324
Mundaka,43.410899,-2.696567,169
Porthleven,50.082667,-5.320363,1253
Anchor Point,30.545198,-9.726952,905
Safi,32.320337,-9.259578,251
Boilers,30.574813,-9.751053,252
Mullaghmore,54.470530,-8.448408,1505
